"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","Status","WindowStartSample","WindowEndSample","SourceSampleRate","ProcessingSampleRate","ReplayEpochCloseSeconds","EpochAvailableSeconds","WallClockElapsedSeconds","DecisionWallTimeSeconds","InferenceLatencyMs","EndToEndLatencyMs","MissedDeadline","FeatureWindowSeconds","ModelProfile","RawCode","PredLabel","Confidence"
"realtime_demo_single_subject","105","208.000","210.000","scored","6120000","6300000","30000.000","1000.000","210.000","210.000","209.841423","209.841423","0.818800","0.820000","False","2.000","E2.0W3","2","Wake","0.499909"
"realtime_demo_single_subject","106","210.000","212.000","scored","6180000","6360000","30000.000","1000.000","212.000","212.000","211.839931","211.839931","0.887100","0.889000","False","2.000","E2.0W3","2","Wake","0.674455"
"realtime_demo_single_subject","107","212.000","214.000","scored","6240000","6420000","30000.000","1000.000","214.000","214.000","213.841325","213.841325","0.667300","0.668500","False","2.000","E2.0W3","2","Wake","0.672886"
"realtime_demo_single_subject","108","214.000","216.000","scored","6300000","6480000","30000.000","1000.000","216.000","216.000","215.839612","215.839612","0.703500","0.705100","False","2.000","E2.0W3","2","Wake","0.593861"
"realtime_demo_single_subject","109","216.000","218.000","scored","6360000","6540000","30000.000","1000.000","218.000","218.000","217.840346","217.840346","0.700700","0.702500","False","2.000","E2.0W3","2","Wake","0.602589"
"realtime_demo_single_subject","110","218.000","220.000","scored","6420000","6600000","30000.000","1000.000","220.000","220.000","219.840668","219.840668","0.884200","0.885900","False","2.000","E2.0W3","2","Wake","0.610511"
"realtime_demo_single_subject","111","220.000","222.000","scored","6480000","6660000","30000.000","1000.000","222.000","222.000","221.841317","221.841317","0.696400","0.697700","False","2.000","E2.0W3","1","REM","0.458833"
"realtime_demo_single_subject","112","222.000","224.000","scored","6540000","6720000","30000.000","1000.000","224.000","224.000","223.840204","223.840204","0.705800","0.707800","False","2.000","E2.0W3","2","Wake","0.435543"
"realtime_demo_single_subject","113","224.000","226.000","scored","6600000","6780000","30000.000","1000.000","226.000","226.000","225.840937","225.840937","0.790500","0.792400","False","2.000","E2.0W3","2","Wake","0.529148"
"realtime_demo_single_subject","114","226.000","228.000","scored","6660000","6840000","30000.000","1000.000","228.000","228.000","227.840001","227.840001","0.771000","0.772600","False","2.000","E2.0W3","2","Wake","0.831660"
"realtime_demo_single_subject","115","228.000","230.000","scored","6720000","6900000","30000.000","1000.000","230.000","230.000","229.840923","229.840923","1.158600","1.160200","False","2.000","E2.0W3","2","Wake","0.680665"
"realtime_demo_single_subject","116","230.000","232.000","scored","6780000","6960000","30000.000","1000.000","232.000","232.000","231.841838","231.841838","0.969400","0.971100","False","2.000","E2.0W3","2","Wake","0.713330"
"realtime_demo_single_subject","117","232.000","234.000","scored","6840000","7020000","30000.000","1000.000","234.000","234.000","233.839688","233.839688","0.708800","0.710200","False","2.000","E2.0W3","1","REM","0.481365"
"realtime_demo_single_subject","118","234.000","236.000","scored","6900000","7080000","30000.000","1000.000","236.000","236.000","235.839805","235.839805","0.749900","0.751400","False","2.000","E2.0W3","1","REM","0.408165"
"realtime_demo_single_subject","119","236.000","238.000","scored","6960000","7140000","30000.000","1000.000","238.000","238.000","237.839805","237.839805","0.771700","0.773300","False","2.000","E2.0W3","1","REM","0.592370"
"realtime_demo_single_subject","120","238.000","240.000","scored","7020000","7200000","30000.000","1000.000","240.000","240.000","239.840215","239.840215","0.695200","0.696300","False","2.000","E2.0W3","2","Wake","0.687814"
"realtime_demo_single_subject","121","240.000","242.000","scored","7080000","7260000","30000.000","1000.000","242.000","242.000","241.840681","241.840681","0.893100","0.894700","False","2.000","E2.0W3","2","Wake","0.660194"
"realtime_demo_single_subject","122","242.000","244.000","scored","7140000","7320000","30000.000","1000.000","244.000","244.000","243.842227","243.842227","1.149100","1.151300","False","2.000","E2.0W3","2","Wake","0.734576"
"realtime_demo_single_subject","123","244.000","246.000","scored","7200000","7380000","30000.000","1000.000","246.000","246.000","245.841407","245.841407","0.781900","0.783200","False","2.000","E2.0W3","2","Wake","0.658617"
"realtime_demo_single_subject","124","246.000","248.000","scored","7260000","7440000","30000.000","1000.000","248.000","248.000","247.840572","247.840572","1.123000","1.136300","False","2.000","E2.0W3","2","Wake","0.751384"
